timestamp,open,high,low,close,volume
2018-12-19,135.5500,137.7600,132.1500,133.2600,3868924
2018-12-18,135.9500,136.7600,134.3800,135.1800,2637752
2018-12-17,135.8300,137.1800,133.5800,134.3800,3133214
2018-12-14,137.4300,138.3800,136.0600,136.4400,2597850
2018-12-13,139.1100,140.2000,137.9000,138.8200,2361493
2018-12-12,138.7700,140.8400,138.2300,138.2900,4201135
2018-12-11,139.7900,140.1900,136.1200,136.8100,4124829
2018-12-10,138.7000,139.2400,135.6530,137.9500,3121844
2018-12-07,140.8300,143.1800,138.1100,138.7100,3644478
2018-12-06,140.2500,141.7200,137.1400,141.5600,5946102
2018-12-04,148.3000,149.2500,142.5100,142.6800,4113584
2018-12-03,150.0000,151.5100,148.8100,148.9800,4319238
2018-11-30,145.9000,147.0950,145.3300,146.7500,5394015
2018-11-29,144.3000,146.8500,143.8100,145.7400,2646877
2018-11-28,143.6800,144.4200,142.1000,144.3000,4295286
2018-11-27,142.3800,143.6800,142.1400,142.8900,3659150
2018-11-26,143.8700,144.5900,142.0200,143.2200,4029304
2018-11-23,142.6400,144.1200,142.0100,143.2600,1513270
2018-11-21,144.9500,145.7300,144.0300,144.1000,2866578
2018-11-20,145.7000,146.9500,143.3000,144.0500,3578847
2018-11-19,148.4300,149.7800,146.9571,147.4700,2256943
2018-11-16,147.4800,148.9900,146.8100,148.5500,3157220
2018-11-15,145.6500,148.4500,145.2100,147.7700,3029076
2018-11-14,148.6500,149.1900,147.2100,147.5300,2827279
2018-11-13,147.9500,150.7900,147.1600,147.6800,2472938
2018-11-12,150.1700,150.6300,147.9100,148.1300,2261178
2018-11-09,150.0900,150.7100,148.8300,150.3200,2378427
2018-11-08,150.0400,151.4900,149.9060,150.5500,2801033
2018-11-07,150.0500,151.6000,148.7500,150.2000,2184974
2018-11-06,147.6900,149.4300,147.6000,148.4500,3178592
2018-11-05,145.5900,148.1600,145.4900,147.1800,4181603
2018-11-02,145.6100,146.5391,143.7000,145.4800,4860599
2018-11-01,145.4400,145.5400,143.5000,144.4500,3791992
2018-10-31,144.9000,146.5900,144.0900,144.8200,4733898
2018-10-30,141.4600,143.0900,140.6700,142.9600,4204636
2018-10-29,145.1200,145.9890,139.3000,141.0600,4741677
2018-10-26,145.7400,148.0800,144.7700,146.0400,3480421
2018-10-25,147.1800,148.5083,146.2200,147.4800,2803567
2018-10-24,150.6700,150.8300,145.0050,145.3400,4624744
2018-10-23,149.3800,152.3100,146.8500,150.6000,5370585
2018-10-22,153.7700,154.2300,151.1000,152.6100,4502743
2018-10-19,156.1000,157.7400,152.4000,153.4700,6791579
2018-10-18,157.1800,157.3802,154.0340,155.1900,3634036
2018-10-17,159.5000,160.5000,157.1300,158.0500,3467462
2018-10-16,157.0600,159.7099,156.8100,159.5600,2837822
2018-10-15,155.7300,157.7500,155.4200,156.2100,3321633
2018-10-12,155.1300,157.2700,154.2800,156.2000,4443503
2018-10-11,156.5600,158.1700,153.4200,153.6200,4859775
2018-10-10,160.7400,160.7400,156.5100,156.6200,4541593
2018-10-09,164.2400,164.2400,160.8000,160.9400,3670083
2018-10-08,164.0200,165.0000,163.1900,164.8600,1867568
2018-10-05,164.9900,165.6900,163.5627,164.0700,2438168
2018-10-04,165.0000,165.8700,162.8500,164.7100,2979647
2018-10-03,166.6900,166.7600,164.8800,165.3800,2297352
2018-10-02,165.9100,166.6400,165.5900,166.0300,2694451
2018-10-01,166.3700,167.7200,165.5100,166.4400,2191625
2018-09-28,165.3800,166.7000,165.1700,166.4000,2194496
2018-09-27,166.1300,166.2900,165.0800,165.3600,1745214
2018-09-26,165.9200,166.7500,164.7100,165.7600,2777867
2018-09-25,165.8200,166.1800,164.9600,165.5600,2298642
2018-09-24,166.6200,166.9200,165.2500,165.4600,1947121
